Date,Product_ID,Base_Price,Current_Price,Day_Of_Week,Traffic_Views,Demand_Units
2026-01-11,1,348.0,378.49,6,13,6
2026-01-11,2,2499.0,2715.26,6,23,7
2026-01-11,3,1299.99,1412.88,6,20,6
2026-01-11,4,175.77,191.06,6,16,8
2026-01-11,5,108.4,117.71,6,29,9
2026-01-11,6,89.26,97.04,6,29,11
2026-01-11,7,194.69,212.08,6,37,8
2026-01-11,8,334.71,365.06,6,17,7
2026-01-11,9,49.42,53.83,6,20,6
2026-01-11,10,84.21,91.96,6,21,7
2026-01-11,11,163.22,178.74,6,21,5
2026-01-11,12,90.57,99.18,6,16,6
2026-01-11,13,151.78,166.41,6,14,5
2026-01-11,14,30.78,33.69,6,8,4
2026-01-11,15,149.81,164.49,6,21,5
2026-01-11,16,164.58,180.68,6,11,3
2026-01-11,17,28.26,30.92,6,15,4
2026-01-11,18,86.21,94.41,6,15,4
2026-01-11,19,934.29,1022.87,6,20,7
2026-01-11,20,151.39,165.62,6,37,8
2026-01-11,21,172.69,188.78,6,15,8
2026-01-11,22,127.45,139.17,6,11,3
2026-01-11,23,704.04,767.97,6,10,3
2026-01-11,24,44.35,48.24,6,39,9
2026-01-11,25,79.19,86.14,6,16,3
2026-01-11,26,38.58,41.87,6,49,9
2026-01-11,27,67.56,73.35,6,19,3
2026-01-11,28,84.16,91.41,6,42,8
2026-01-11,29,65.98,71.63,6,22,10
2026-01-11,30,169.06,183.91,6,21,7
2026-01-11,31,56.82,61.74,6,30,8
2026-01-11,32,130.37,141.89,6,16,7
2026-01-11,33,158.33,172.37,6,27,7
2026-01-11,34,118.15,128.61,6,13,5
2026-01-11,35,181.46,197.73,6,16,2
2026-01-11,36,174.32,190.05,6,25,6
2026-01-11,37,54.43,59.26,6,17,3
2026-01-11,38,82.43,89.87,6,15,7
2026-01-11,39,175.98,192.12,6,19,9
2026-01-11,40,73.53,80.17,6,18,5
2026-01-11,41,40.59,44.26,6,23,9
2026-01-11,42,171.93,187.96,6,21,3
2026-01-11,43,77.85,84.95,6,23,7
2026-01-11,44,119.79,130.86,6,20,10
2026-01-11,45,166.43,182.01,6,27,5
2026-01-11,46,77.9,85.19,6,36,7
2026-01-11,47,180.88,198.36,6,30,10
2026-01-11,48,193.29,212.26,6,28,7
2026-01-11,49,174.56,191.9,6,33,7
2026-01-11,50,109.5,120.52,6,30,8
2026-01-11,51,189.4,208.92,6,11,2
2026-01-11,52,48.97,54.02,6,16,5
2026-01-11,53,26.8,29.58,6,17,4
2026-01-11,54,108.75,120.35,6,37,7
2026-01-11,55,804.8,889.33,6,15,7
2026-01-11,56,797.98,882.89,6,32,6
2026-01-11,57,193.73,214.88,6,14,5
2026-01-11,58,49.7,55.06,6,19,7
2026-01-11,59,133.02,147.64,6,22,10
2026-01-11,60,35.55,39.39,6,29,6
2026-01-11,61,107.15,119.01,6,42,11
2026-01-11,62,55.9,62.09,6,33,8
2026-01-11,63,145.16,161.59,6,21,9
2026-01-11,64,166.8,185.98,6,11,3
2026-01-11,65,39.93,44.52,6,17,7
2026-01-11,66,154.52,172.82,6,17,4
2026-01-11,67,194.52,217.92,6,32,8
2026-01-11,68,101.18,113.4,6,6,3
2026-01-11,69,41.84,46.89,6,21,4
2026-01-11,70,23.17,25.96,6,30,10
2026-01-11,71,89.64,100.63,6,29,8
2026-01-11,72,313.37,351.87,6,45,12
2026-01-11,73,361.57,406.24,6,17,7
2026-01-11,74,65.49,73.66,6,22,6
2026-01-11,75,143.72,161.79,6,30,8
2026-01-11,76,152.9,172.03,6,6,2
2026-01-11,77,198.52,223.52,6,23,8
2026-01-11,78,165.06,185.87,6,12,3
2026-01-11,79,166.07,186.95,6,19,5
2026-01-11,80,66.17,74.43,6,41,7
2026-01-11,81,160.9,181.13,6,41,9
2026-01-11,82,101.84,114.7,6,9,3
2026-01-11,83,52.65,59.26,6,15,5
2026-01-11,84,99.51,111.96,6,16,3
2026-01-11,85,190.44,214.17,6,24,4
2026-01-11,86,170.12,191.18,6,10,2
2026-01-11,87,35.15,39.42,6,33,7
2026-01-11,88,100.69,112.93,6,27,5
2026-01-11,89,114.68,128.44,6,48,7
2026-01-11,90,143.55,160.5,6,28,11
2026-01-11,91,55.71,62.06,6,27,6
2026-01-11,92,121.73,135.47,6,30,7
2026-01-11,93,155.59,172.73,6,36,7
2026-01-11,94,28.08,31.02,6,16,6
2026-01-11,95,163.13,180.2,6,19,4
2026-01-11,96,40.61,44.67,6,16,5
2026-01-11,97,138.2,151.9,6,11,5
2026-01-11,98,186.16,204.19,6,33,9
2026-01-11,99,64.8,70.85,6,22,6
2026-01-11,100,174.78,190.98,6,26,6
2026-01-11,101,45.9,49.99,6,17,8
2026-01-11,102,171.27,186.55,6,31,8
2026-01-11,103,97.88,106.46,6,21,8
2026-01-12,1,348.0,378.49,0,10,4
2026-01-12,2,2499.0,2715.26,0,32,5
2026-01-12,3,1299.99,1412.88,0,17,7
2026-01-12,4,175.77,191.06,0,13,3
2026-01-12,5,108.4,117.71,0,19,6
2026-01-12,6,89.26,97.04,0,25,7
2026-01-12,7,194.69,212.08,0,10,5
2026-01-12,8,334.71,365.06,0,19,5
2026-01-12,9,49.42,53.83,0,10,1
2026-01-12,10,84.21,91.96,0,8,3
2026-01-12,11,163.22,178.74,0,15,3
2026-01-12,12,90.57,99.18,0,9,2
2026-01-12,13,151.78,166.41,0,34,6
2026-01-12,14,30.78,33.69,0,24,5
2026-01-12,15,149.81,164.49,0,6,1
2026-01-12,16,164.58,180.68,0,16,3
2026-01-12,17,28.26,30.92,0,9,3
2026-01-12,18,86.21,94.41,0,8,1
2026-01-12,19,934.29,1022.87,0,13,2
2026-01-12,20,151.39,165.62,0,16,4
2026-01-12,21,172.69,188.78,0,17,4
2026-01-12,22,127.45,139.17,0,23,5
2026-01-12,23,704.04,767.97,0,13,4
2026-01-12,24,44.35,48.24,0,10,2
2026-01-12,25,79.19,86.14,0,34,6
2026-01-12,26,38.58,41.87,0,9,3
2026-01-12,27,67.56,73.35,0,9,2
2026-01-12,28,84.16,91.41,0,9,5
2026-01-12,29,65.98,71.63,0,31,6
2026-01-12,30,169.06,183.91,0,5,1
2026-01-12,31,56.82,61.74,0,13,3
2026-01-12,32,130.37,141.89,0,10,4
2026-01-12,33,158.33,172.37,0,14,6
2026-01-12,34,118.15,128.61,0,22,5
2026-01-12,35,181.46,197.73,0,17,4
2026-01-12,36,174.32,190.05,0,18,6
2026-01-12,37,54.43,59.26,0,16,5
2026-01-12,38,82.43,89.87,0,31,9
2026-01-12,39,175.98,192.12,0,10,4
2026-01-12,40,73.53,80.17,0,18,5
2026-01-12,41,40.59,44.26,0,22,5
2026-01-12,42,171.93,187.96,0,7,3
2026-01-12,43,77.85,84.95,0,18,3
2026-01-12,44,119.79,130.86,0,6,2
2026-01-12,45,166.43,182.01,0,7,3
2026-01-12,46,77.9,85.19,0,26,6
2026-01-12,47,180.88,198.36,0,30,6
2026-01-12,48,193.29,212.26,0,5,2
2026-01-12,49,174.56,191.9,0,11,2
2026-01-12,50,109.5,120.52,0,15,4
2026-01-12,51,189.4,208.92,0,26,5
2026-01-12,52,48.97,54.02,0,8,3
2026-01-12,53,26.8,29.58,0,10,3
2026-01-12,54,108.75,120.35,0,7,2
2026-01-12,55,804.8,889.33,0,9,2
2026-01-12,56,797.98,882.89,0,23,8
2026-01-12,57,193.73,214.88,0,29,7
2026-01-12,58,49.7,55.06,0,13,6
2026-01-12,59,133.02,147.64,0,34,6
2026-01-12,60,35.55,39.39,0,28,5
2026-01-12,61,107.15,119.01,0,28,7
2026-01-12,62,55.9,62.09,0,17,4
2026-01-12,63,145.16,161.59,0,10,3
2026-01-12,64,166.8,185.98,0,11,3
2026-01-12,65,39.93,44.52,0,21,5
2026-01-12,66,154.52,172.82,0,10,4
2026-01-12,67,194.52,217.92,0,7,3
2026-01-12,68,101.18,113.4,0,13,4
2026-01-12,69,41.84,46.89,0,9,2
2026-01-12,70,23.17,25.96,0,14,8
2026-01-12,71,89.64,100.63,0,29,6
2026-01-12,72,313.37,351.87,0,8,3
2026-01-12,73,361.57,406.24,0,11,2
2026-01-12,74,65.49,73.66,0,21,8
2026-01-12,75,143.72,161.79,0,8,3
2026-01-12,76,152.9,172.03,0,19,6
2026-01-12,77,198.52,223.52,0,16,4
2026-01-12,78,165.06,185.87,0,22,3
2026-01-12,79,166.07,186.95,0,24,4
2026-01-12,80,66.17,74.43,0,12,2
2026-01-12,81,160.9,181.13,0,17,3
2026-01-12,82,101.84,114.7,0,22,4
2026-01-12,83,52.65,59.26,0,22,6
2026-01-12,84,99.51,111.96,0,16,5
2026-01-12,85,190.44,214.17,0,22,3
2026-01-12,86,170.12,191.18,0,23,8
2026-01-12,87,35.15,39.42,0,7,3
2026-01-12,88,100.69,112.93,0,6,2
2026-01-12,89,114.68,128.44,0,9,2
2026-01-12,90,143.55,160.5,0,9,3
2026-01-12,91,55.71,62.06,0,18,5
2026-01-12,92,121.73,135.47,0,8,3
2026-01-12,93,155.59,172.73,0,24,8
2026-01-12,94,28.08,31.02,0,13,5
2026-01-12,95,163.13,180.2,0,11,3
2026-01-12,96,40.61,44.67,0,7,4
2026-01-12,97,138.2,151.9,0,17,5
2026-01-12,98,186.16,204.19,0,12,3
2026-01-12,99,64.8,70.85,0,21,5
2026-01-12,100,174.78,190.98,0,16,6
2026-01-12,101,45.9,49.99,0,18,3
2026-01-12,102,171.27,186.55,0,11,3
2026-01-12,103,97.88,106.46,0,25,6
2026-01-13,1,348.0,378.49,1,17,5
2026-01-13,2,2499.0,2715.26,1,21,5
2026-01-13,3,1299.99,1412.88,1,22,7
2026-01-13,4,175.77,191.06,1,10,4
2026-01-13,5,108.4,117.71,1,7,3
2026-01-13,6,89.26,97.04,1,8,2
2026-01-13,7,194.69,212.08,1,9,2
2026-01-13,8,334.71,365.06,1,33,9
2026-01-13,9,49.42,53.83,1,24,4
2026-01-13,10,84.21,91.96,1,23,6
2026-01-13,11,163.22,178.74,1,22,6
2026-01-13,12,90.57,99.18,1,16,8
2026-01-13,13,151.78,166.41,1,11,3
2026-01-13,14,30.78,33.69,1,22,6
