product_id,date,base_price,current_price,traffic_views,units_sold,day_of_week,inventory_level,promotion_flag
1,2023-01-01,67.55,68.53,99,34,6,517,0
1,2023-01-02,67.55,68.9,140,45,0,472,0
1,2023-01-03,67.55,54.04,455,191,1,281,1
1,2023-01-04,67.55,53.17,192,87,2,194,0
1,2023-01-05,67.55,53.37,163,64,3,130,0
1,2023-01-06,67.55,54.01,118,46,4,84,0
1,2023-01-07,67.55,53.85,89,40,5,486,0
1,2023-01-08,67.55,52.26,100,43,6,443,0
1,2023-01-09,67.55,52.88,141,55,0,388,0
1,2023-01-10,67.55,51.79,182,78,1,310,0
1,2023-01-11,67.55,51.28,193,77,2,233,0
1,2023-01-12,67.55,50.04,164,66,3,167,0
1,2023-01-13,67.55,50.35,119,50,4,117,0
1,2023-01-14,67.55,51.04,90,31,5,86,0
1,2023-01-15,67.55,52.49,100,35,6,51,0
1,2023-01-16,67.55,52.65,142,51,0,724,0
1,2023-01-17,67.55,53.87,184,68,1,656,0
1,2023-01-18,67.55,52.88,195,81,2,575,0
1,2023-01-19,67.55,53.39,167,62,3,513,0
1,2023-01-20,67.55,54.94,120,42,4,471,0
1,2023-01-21,67.55,56.15,91,39,5,432,0
1,2023-01-22,67.55,55.99,102,39,6,393,0
1,2023-01-23,67.55,54.86,145,57,0,336,0
1,2023-01-24,67.55,55.42,188,65,1,271,0
1,2023-01-25,67.55,56.03,199,74,2,197,0
1,2023-01-26,67.55,56.48,170,66,3,131,0
1,2023-01-27,67.55,55.62,123,43,4,88,0
1,2023-01-28,67.55,54.85,93,38,5,50,0
1,2023-01-29,67.55,55.47,104,39,6,423,0
1,2023-01-30,67.55,56.61,148,56,0,367,0
1,2023-01-31,67.55,55.69,192,71,1,296,0
1,2023-02-01,67.55,54.04,507,233,2,63,1
1,2023-02-02,67.55,53.29,174,63,3,408,0
1,2023-02-03,67.55,53.5,125,46,4,362,0
1,2023-02-04,67.55,52.58,95,41,5,321,0
1,2023-02-05,67.55,53.79,107,38,6,283,0
1,2023-02-06,67.55,52.64,152,62,0,221,0
1,2023-02-07,67.55,53.41,197,67,1,154,0
1,2023-02-08,67.55,54.2,209,74,2,80,0
1,2023-02-09,67.55,54.47,178,72,3,493,0
1,2023-02-10,67.55,56.1,129,53,4,440,0
1,2023-02-11,67.55,54.72,98,39,5,401,0
1,2023-02-12,67.55,54.04,275,109,6,292,1
1,2023-02-13,67.55,54.45,156,60,0,232,0
1,2023-02-14,67.55,54.2,203,71,1,161,0
1,2023-02-15,67.55,53.82,215,81,2,80,0
1,2023-02-16,67.55,53.91,184,71,3,806,0
1,2023-02-17,67.55,55.34,133,57,4,749,0
1,2023-02-18,67.55,54.06,101,41,5,708,0
1,2023-02-19,67.55,54.87,114,38,6,670,0
1,2023-02-20,67.55,54.34,161,66,0,604,0
1,2023-02-21,67.55,53.23,210,82,1,522,0
1,2023-02-22,67.55,54.04,555,210,2,312,1
1,2023-02-23,67.55,54.75,190,79,3,233,0
1,2023-02-24,67.55,55.61,138,58,4,175,0
1,2023-02-25,67.55,54.3,105,45,5,130,0
1,2023-02-26,67.55,55.41,118,43,6,87,0
1,2023-02-27,67.55,54.41,167,65,0,513,0
1,2023-02-28,67.55,54.54,217,88,1,425,0
1,2023-03-01,67.55,54.64,231,98,2,327,0
1,2023-03-02,67.55,54.04,492,190,3,137,1
1,2023-03-03,67.55,52.48,143,57,4,80,0
1,2023-03-04,67.55,53.67,109,40,5,765,0
1,2023-03-05,67.55,52.83,122,44,6,721,0
1,2023-03-06,67.55,53.04,173,74,0,647,0
1,2023-03-07,67.55,53.78,225,100,1,547,0
1,2023-03-08,67.55,55.32,239,93,2,454,0
1,2023-03-09,67.55,54.08,205,88,3,366,0
1,2023-03-10,67.55,55.53,148,60,4,306,0
1,2023-03-11,67.55,55.62,113,42,5,264,0
1,2023-03-12,67.55,57.17,127,50,6,214,0
1,2023-03-13,67.55,58.05,180,77,0,137,0
1,2023-03-14,67.55,58.79,234,88,1,553,0
1,2023-03-15,67.55,59.32,249,104,2,449,0
1,2023-03-16,67.55,59.38,213,62,3,387,0
1,2023-03-17,67.55,58.4,154,62,4,325,0
1,2023-03-18,67.55,58.71,118,44,5,281,0
1,2023-03-19,67.55,57.72,132,49,6,232,0
1,2023-03-20,67.55,58.17,187,71,0,161,0
1,2023-03-21,67.55,59.58,243,76,1,85,0
1,2023-03-22,67.55,58.05,258,85,2,421,0
1,2023-03-23,67.55,58.0,221,86,3,335,0
1,2023-03-24,67.55,58.78,160,67,4,268,0
1,2023-03-25,67.55,59.05,122,44,5,224,0
1,2023-03-26,67.55,58.95,137,48,6,176,0
1,2023-03-27,67.55,57.52,194,71,0,105,0
1,2023-03-28,67.55,57.02,252,104,1,511,0
1,2023-03-29,67.55,57.8,268,105,2,406,0
1,2023-03-30,67.55,59.48,229,82,3,324,0
1,2023-03-31,67.55,59.13,166,65,4,259,0
