Date,Product_ID,Base_Price,Current_Price,Day_Of_Week,Traffic_Views,Demand_Units
2025-11-26,1,193.52,214.61,2,536,41
2025-11-26,2,86.45,81.55,2,99,19
2025-11-26,3,304.55,339.92,2,358,25
2025-11-26,4,417.9,450.59,2,154,14
2025-11-26,5,159.08,160.16,2,265,23
2025-11-26,6,309.81,347.69,2,84,7
2025-11-26,7,233.47,242.82,2,553,43
2025-11-26,8,300.28,335.65,2,73,5
2025-11-26,9,41.88,45.87,2,649,49
2025-11-26,10,159.26,141.1,2,78,17
2025-11-26,11,69.8,70.19,2,328,46
2025-11-26,12,136.8,136.69,2,278,31
2025-11-26,13,277.89,287.02,2,133,6
2025-11-26,14,470.35,527.96,2,334,37
2025-11-26,15,53.36,61.14,2,102,11
2025-11-26,16,200.45,172.84,2,187,21
2025-11-26,17,147.66,148.19,2,213,35
2025-11-26,18,46.53,49.2,2,438,54
2025-11-26,19,12.71,12.1,2,255,60
2025-11-26,20,387.92,359.75,2,96,10
2025-11-27,1,193.52,216.58,3,662,50
2025-11-27,2,86.45,75.66,3,79,25
2025-11-27,3,304.55,259.7,3,221,69
2025-11-27,4,417.9,375.37,3,152,18
2025-11-27,5,159.08,145.92,3,346,26
2025-11-27,6,309.81,332.72,3,129,12
2025-11-27,7,233.47,238.86,3,400,32
2025-11-27,8,300.28,280.53,3,37,6
2025-11-27,9,41.88,47.26,3,442,59
2025-11-27,10,159.26,153.77,3,126,10
2025-11-27,11,69.8,77.7,3,338,27
2025-11-27,12,136.8,131.04,3,276,44
2025-11-27,13,277.89,308.49,3,188,14
2025-11-27,14,470.35,512.45,3,520,51
2025-11-27,15,53.36,59.6,3,115,7
2025-11-27,16,200.45,172.22,3,92,23
2025-11-27,17,147.66,131.14,3,300,48
2025-11-27,18,46.53,48.25,3,289,28
2025-11-27,19,12.71,12.86,3,474,45
2025-11-27,20,387.92,422.28,3,64,2
2025-11-28,1,193.52,220.38,4,638,47
2025-11-28,2,86.45,77.98,4,78,14
2025-11-28,3,304.55,324.15,4,427,42
2025-11-28,4,417.9,431.9,4,133,9
2025-11-28,5,159.08,171.38,4,147,16
2025-11-28,6,309.81,267.12,4,152,17
2025-11-28,7,233.47,205.31,4,399,53
2025-11-28,8,300.28,294.32,4,63,6
